HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013
170, Senegal,68.1,67.9,68.2,68.6,68.5,68.6,68.7
66, Serbia,47.7,47.8,43.3,41.9,40.1,39.8,40.8
181, Sierra Leone,62,61.9,64,64.9,65,65,65.2
11, Singapore,62.8,63,62.3,65.1,65.5,66.1,65.9
35, Slovakia,52,48.7,49.8,50.5,51.1,51.2,51.1
25, Slovenia,54.8,53.5,55.3,55,53.4,52.8,51.8
156, Solomon Islands,62.7,62.8,64.1,63.9,64,63.8,63.7
.., Somalia,52.4,52.4,52.3,52.2,52.2,52.2,52.2
116, South Africa,45.8,41.6,41.2,38.7,38.6,38.8,39.2
26, Spain,38.9,45.5,51.4,47.2,46.4,44.5,43.3
73, Sri Lanka,48.8,52.5,50.7,52.3,52.7,52.8,52.6
167, Sudan,43.6,44.3,45,45.5,45.5,45.6,45.4
103, Suriname,45.9,43.8,48.2,50.2,50.5,50.5,50.3
150, Swaziland,44.3,43.5,43.3,43.7,43.9,44.3,44.5
14, Sweden,57.2,59.2,58.7,58,58.8,58.9,58.9
3, Switzerland,65.1,65.5,64.1,64.8,65.3,65.3,65.2
134, Syrian Arab Republic,49.2,46,42.6,39.8,38.5,38.6,38.9
129, Tajikistan,59.3,58.6,58.4,59.5,59.9,60.3,60.7
151, Tanzania (United Republic of),84.9,84.3,87.3,86.6,86.1,86.1,86
93, Thailand,73.1,71,72.5,71.7,71.9,71.9,71.7
81, The former Yugoslav Republic of Macedonia,37.3,36.2,33.2,37.8,38,38,39.2
133, Timor-Leste,56.1,52.6,45.7,37.1,36.9,36.5,36.2
162, Togo,71.6,73,74.4,75.2,75.2,75.3,75.4
64, Trinidad and Tobago,49.8,53.8,59.5,60,60.9,60.8,60.4
96, Tunisia,41.1,40.2,39.6,41,38.6,40.8,41.3
72, Turkey,49.4,45.6,41.2,42.7,44.6,44.9,44.5
109, Turkmenistan,53.7,53.8,53.9,54,54.3,54.6,55
163, Uganda,79.8,79.4,77,74.5,74.4,74.3,74.5
81, Ukraine,57.3,51.3,53.9,53.9,54.2,54.7,54.7
41, United Arab Emirates,73.9,74.5,74.2,74.9,75.4,76.1,76.9
14, United Kingdom,56,58.4,59,57,57,57.1,57.4
8, United States,62,63.6,61.6,57.4,57.3,57.7,57.8
52, Uruguay,56.5,56.8,57.2,60.7,61.4,61.3,61.3
114, Uzbekistan,52.6,53,53.2,54.1,54.4,54.7,55.1
71, Venezuela (Bolivarian Republic of),55.4,56.9,58.9,59.3,59.5,59.7,60.2
116, Viet Nam,76.8,76,75.5,74.6,75.4,75.8,75.9
160, Yemen,40.1,39.1,39.7,39.5,39.7,39.9,40.3
139, Zambia,65.2,69.7,67.2,69.1,69,69,68.8
155, Zimbabwe,69.7,70.2,82.6,81.5,81.6,81.8,81.9
