77, Saint Kitts and Nevis,13.3,0.1,6.7,6.7,6.7 f,6.7 g,6.7 h,6.7
89, Saint Lucia,13.8,20.7,20.7,20.7,24.1 f,17.2 g,17.2 h,20.7
97, Saint Vincent and the Grenadines,4.8,18.2,21.7,14.3,17.4 f,17.4 g,13.0 h,13
105, Samoa,8.2,6.1,8.2,8.2,4.1 f,4.1 g,4.1 h,6.1
.., San Marino,13.3,16.7,16.7,16.7,18.3 f,18.3 g,18.3 h,16.7
143, Sao Tome and Principe,9.1,9.1,7.3,18.2,18.2 f,18.2 g,18.2 h,18.2
39, Saudi Arabia,,0.1,0.1,0.1,0.1 f,0.1 g,19.9 h,19.9
170, Senegal,14,19.2,29.6,29.6,29.6 f,29.6 g,42.7 h,42.7
66, Serbia,,,21.6,21.6,22.0 f,22.0 g,33.2 h,34
64, Seychelles,23.5,29.4,23.5,23.5,43.8 f,43.8 g,43.8 h,43.8
181, Sierra Leone,8.8,14.5,13.2,13.2,12.9 f,12.9 g,12.4 h,12.4
11, Singapore,4.3,16,23.4,23.4,22.2 f,23.5 g,24.2 h,25.3
35, Slovakia,14,16.7,18,15.3,16.0 f,17.3 g,18.7 h,18.7
25, Slovenia,,10.8,10.8,10.8,23.1 f,23.1 g,24.6 h,27.7
156, Solomon Islands,2,0.1,0.1,0.1,0.1 f,0.1 g,2.0 h,2
.., Somalia,,8,6.9,6.8,6.8 f,6.8 g,13.8 h,13.8
116, South Africa,30.1,32.8,42.7,42.7,41.1 f,41.1 g,41.1 h,40.7
169, South Sudan,,,,,24.3 f,24.3 g,24.3 h,24.3
26, Spain,25.9,30.5,34.1,34.1,34.9 f,34.9 g,35.2 h,38
73, Sri Lanka,,4.9,5.3,5.3,5.8 f,5.8 g,5.8 h,5.8
167, Sudan,,13.6,,24.2,24.1 f,24.1 g,24.1 h,23.8
103, Suriname,,25.5,,9.8,11.8 f,11.8 g,11.8 h,11.8
150, Swaziland,6.3,16.8,21.9,21.9,21.9 f,21.9 g,15.3 h,14.7
14, Sweden,42.7,45.3,46.4,45,44.7 f,44.7 g,44.7 h,43.6
3, Switzerland,22.4,24.8,27.6,27.6,26.8 f,26.8 g,27.2 h,28.5
134, Syrian Arab Republic,10.4,12,12.4,12.4,12.4 f,12.4 g,12.0 h,12.4
129, Tajikistan,14,19.6,,17.5,17.5 f,17.5 g,17.5 h,15.2
151, Tanzania (United Republic of),,30.4,30.6,36,36.0 f,36.0 g,36.0 h,36
93, Thailand,6.8,10.6,14,14,15.7 f,15.7 g,15.7 h,6.1
81, The former Yugoslav Republic of Macedonia,6.7,19.2,32.5,32.5,30.9 f,30.9 g,34.1 h,33.3
133, Timor-Leste,,25.3,29.2,29.2,32.3 f,32.3 g,38.5 h,38.5
162, Togo,4.9,7.4,11.1,11.1,11.1 f,11.1 g,15.4 h,17.6
100, Tonga,0.1,3.4,3.1,0.1,3.6 f,3.6 g,3.6 h,0.1
64, Trinidad and Tobago,,25.4,34.7,27.4,27.4 f,27.4 g,26.0 h,24.7
96, Tunisia,11.5,19.3,23.3,23.3,26.7 f,26.7 g,26.7 h,31.3
72, Turkey,4.2,4.4,9.1,9.1,14.2 f,14.2 g,14.4 h,14.4
109, Turkmenistan,26,16,16.8,16.8,16.8 f,16.8 g,16.8 h,25.8
.., Tuvalu,0.1,0.1,0.1,0.1,6.7 f,6.7 g,6.7 h,6.7
163, Uganda,17.8,23.9,31.5,,35.0 f,35.0 g,35.0 h,35
81, Ukraine,7.8,5.3,8,8,8.0 f,8.0 g,9.4 h,11.8
41, United Arab Emirates,0.1,0.1,22.5,22.5,17.5 f,17.5 g,17.5 h,17.5
14, United Kingdom,17,18.5,21,21,22.1 f,22.1 g,22.6 h,23.5
8, United States,,15,16.5,16.8,16.9 f,16.9 g,18.2 h,19.4
52, Uruguay,11.5,10.8,14.6,14.6,12.3 f,12.3 g,12.3 h,11.5
114, Uzbekistan,7.2,16.4,19.2,19.2,19.2 f,19.2 g,19.2 h,16.4
134, Vanuatu,0.1,3.8,3.8,3.8,1.9 f,1.9 g,0.1 h,0.1
71, Venezuela (Bolivarian Republic of),,17.4,17.5,17,17.0 f,17.0 g,17.0 h,17
116, Viet Nam,26,27.3,25.8,25.8,24.4 f,24.4 g,24.4 h,24.3
160, Yemen,0.7,0.7,0.7,0.7,0.7 f,0.7 g,0.7 h,0.7
139, Zambia,10.1,12.7,14,14,11.5 f,11.5 g,11.5 h,12.7
155, Zimbabwe,9.3,20.8,17.9,17.9,17.9 f,17.9 g,35.1 h,35.1
f: Data are as of 31 December 2011.g: Data are as of 30 April 2012.h: Data are as of 1 October 2013.,,,,,,,,,
