62, Malaysia,38.6,28.2,19.4,19,15,13,12.8,5.7,5.7 i,5.7
104, Maldives,202.6,210.1,175.8,109.1,58.1,24.9,11,4.2,4.2 i,4.2
179, Mali,188.3,189.9,192.7,192.6,189.1,185.1,180.9,175.6,175.6 i,175.6
37, Malta,14.3,16.7,11.3,13.1,16.5,16.2,18.7,18.2,18.2 i,18.2
156, Mauritania,114.2,111.2,110.4,107.8,101.3,92.2,82.5,73.3,73.3 i,73.3
63, Mauritius,73,41.4,44.7,42.6,36.3,36.5,33.1,30.9,30.9 i,30.9
74, Mexico,106.4,95.1,85.7,77.7,81.7,74.2,69.3,63.4,63.4 i,63.4
123, Micronesia (Federated States of),69,63.6,53.5,48.4,44.8,34.3,25.4,18.6,18.6 i,18.6
107, Moldova (Republic of),38.3,37,48.6,63.2,58.1,37.4,33.8,29.3,29.3 i,29.3
90, Mongolia,59,38.6,33.9,38.4,31.4,21.6,19,18.7,18.7 i,18.7
49, Montenegro,32.5,29.7,26.9,24.8,23.4,20.9,18.6,15.2,15.2 i,15.2
126, Morocco,106.9,82.8,59.6,51.7,44,34,32.7,35.8,35.8 i,35.8
180, Mozambique,126.5,123.7,119.4,113.3,117,183.2,162.5,137.8,137.8 i,137.8
148, Myanmar,82.5,62.5,44.4,29.8,23.7,19.3,16.2,12.1,12.1 i,12.1
126, Namibia,139,130.6,116.8,103.4,90.4,81.7,74.4,54.9,54.9 i,54.9
145, Nepal,113.1,127.6,134,135.7,129.3,114,94.8,73.7,73.7 i,73.7
5, Netherlands,10.2,8,6.9,7.1,6.2,7.1,5.3,6.2,6.2 i,6.2
9, New Zealand,44,32.8,31.9,33.4,29.9,26.7,30.1,25.3,25.3 i,25.3
125, Nicaragua,149,154,160.1,156.6,132.6,119.4,112.7,100.8,100.8 i,100.8
188, Niger,219.9,225.3,225,224,222.2,216.1,209.6,204.8,204.8 i,204.8
152, Nigeria,172,165.7,154.9,143.4,136.6,130,123.9,119.6,119.6 i,119.6
1, Norway,24.4,16.9,17.8,15.7,12.8,10,8.9,7.8,7.8 i,7.8
52, Oman,140,117.2,93.9,72.9,43.5,21.1,13.6,10.6,10.6 i,10.6
147, Pakistan,110.5,102.9,93.8,75.9,58.8,40.5,30.9,27.3,27.3 i,27.3
113," Palestine, State of",108.9,97,95.1,110.1,97.5,72,50.1,45.8,45.8,45.8
60, Panama,122.6,111.1,102.6,93.7,95.9,91.1,84.6,78.5,78.5 i,78.5
158, Papua New Guinea,107.2,95.5,79.6,68.6,75.6,71,66.9,62.1,62.1 i,62.1
112, Paraguay,95.7,98.3,91.6,92.4,91.9,82.3,72.3,67,67.0 i,67
84, Peru,92.5,74.1,72,70,70.5,61.5,54.7,50.7,50.7 i,50.7
115, Philippines,54.2,51.6,50.1,51,49.1,53.9,54.1,46.8,46.8 i,46.8
36, Poland,33.4,34.1,32.4,30.8,20.4,14.9,15,12.2,12.2 i,12.2
43, Portugal,46.1,37.9,28,22.2,20.7,20.2,16.8,12.6,12.6 i,12.6
32, Qatar,80.1,71.5,57.7,44,22.8,19,15.1,9.5,9.5 i,9.5
52, Romania,63.2,60.4,60.3,46.1,37.4,29.9,30.9,31,31.0 i,31
50, Russian Federation,39.6,45.3,49.2,51.8,35.1,27.6,29.3,25.7,25.7 i,25.7
163, Rwanda,76.4,75.9,71.9,58.7,55.2,44.7,42.8,33.6,33.6 i,33.6
89, Saint Lucia,162.1,148.6,120.8,94.6,69.8,62,61.4,56.3,56.3 i,56.3
97, Saint Vincent and the Grenadines,132.3,110.4,95.1,88,76.1,64.6,58.9,54.5,54.5 i,54.5
105, Samoa,54.5,46.6,39.4,33.7,45.1,37,31.7,28.3,28.3 i,28.3
143, Sao Tome and Principe,136.4,131,118.8,108.4,94.6,85,76.4,65.1,65.1 i,65.1
39, Saudi Arabia,125.1,118.1,84.7,58.7,37.3,20.6,11.6,10.2,10.2 i,10.2
170, Senegal,182,167,146.8,126,111.7,104.2,98.1,94.4,94.4 i,94.4
66, Serbia,44.9,43.9,42.2,37.1,28,23.3,19.3,16.9,16.9 i,16.9
64, Seychelles,115.9,84.3,67.6,68.1,57.9,57.9,59.9,56.3,56.3 i,56.3
181, Sierra Leone,182.5,167.1,148.3,132.4,128.1,127.1,119,100.7,100.7 i,100.7
11, Singapore,12,11,8,7.9,7.4,7.5,6,6,6.0 i,6
35, Slovakia,47.5,48.6,51,45.4,27.4,20.7,20.7,15.9,15.9 i,15.9
25, Slovenia,48.9,42.1,26.2,12.7,7,4.8,4.8,0.6,0.6 i,0.6
156, Solomon Islands,129.7,110.3,98.9,84.8,71.1,70.1,70.3,64.9,64.9 i,64.9
.., Somalia,53.5,54,76.7,101.7,126.6,126.9,127.2,110.4,110.4 i,110.4
116, South Africa,86.1,93.6,95.4,90.8,80.6,70.7,59.2,50.9,50.9 i,50.9
169, South Sudan,146.3,141.9,141.2,136.1,127.8,118.3,95.4,75.3,75.3 i,75.3
26, Spain,25.6,21.2,15.1,9.7,8.1,10.3,12.7,10.6,10.6 i,10.6
73, Sri Lanka,41.2,38.6,33.4,29.8,29,27.6,22.3,16.9,16.9 i,16.9
167, Sudan,128,112.4,101.5,108,110.5,118.9,106.6,84,84.0 i,84
103, Suriname,92.5,81.4,60,49.6,50.8,45.2,39.5,35.2,35.2 i,35.2
150, Swaziland,151.2,149.1,141.8,124.8,109.4,102.4,88,72,72.0 i,72
14, Sweden,21.2,12.7,11.8,11.4,7.2,6.4,6,6.5,6.5 i,6.5
3, Switzerland,11.4,8.8,6.3,6.5,5.7,5.3,4.5,1.9,1.9 i,1.9
134, Syrian Arab Republic,114.3,100.8,82.1,67.9,64,53.7,44.6,41.6,41.6 i,41.6
129, Tajikistan,59.2,56.4,56.4,57.4,50.2,40.9,44.8,42.8,42.8 i,42.8
151, Tanzania (United Republic of),154.9,150.8,146.4,139.5,133.3,132,130.4,122.7,122.7 i,122.7
93, Thailand,60,57.7,53.2,50.2,45.7,41.9,40.6,41,41.0 i,41
81, The former Yugoslav Republic of Macedonia,49,46.4,42.8,40,33.6,26.6,22.3,18.3,18.3 i,18.3
133, Timor-Leste,45,56.4,54.5,59.5,71.9,70.1,65.8,52.2,52.2 i,52.2
162, Togo,144.2,138.4,127.1,109.6,95.8,90.7,90.1,91.5,91.5 i,91.5
100, Tonga,30.6,30.1,25.5,25.5,22.5,21.3,22.3,18.1,18.1 i,18.1
64, Trinidad and Tobago,85.4,85.2,72.1,56.1,44.3,38.4,38.1,34.8,34.8 i,34.8
96, Tunisia,38.7,33.5,23.8,18.1,8.4,6.5,5.7,4.6,4.6 i,4.6
72, Turkey,98.5,86.3,71.1,60.8,52.4,44.8,39.3,30.9,30.9 i,30.9
109, Turkmenistan,23.6,21.1,22.3,26.4,25.4,24.4,20.9,18,18.0 i,18
163, Uganda,181.8,181.8,185.5,201.3,191,172.5,149.9,126.6,126.6 i,126.6
81, Ukraine,45.4,55.5,65.8,58.5,43,29.5,30.8,25.7,25.7 i,25.7
41, United Arab Emirates,144.9,116.8,74,41.7,27.6,25.6,29.9,27.6,27.6 i,27.6
14, United Kingdom,29,27,32,31,31,27,25.8,25.8,25.8 i,25.8
8, United States,52.7,51.6,53.3,59.6,51.3,43.2,39.7,31,31.0 i,31
52, Uruguay,71,62.6,66.4,70.5,67.3,63.5,61.1,58.3,58.3 i,58.3
114, Uzbekistan,53.3,32.9,40.5,66.1,50,50,48.8,38.8,38.8 i,38.8
134, Vanuatu,89.5,83.6,77.7,69.8,62,54.7,47.7,44.8,44.8 i,44.8
71, Venezuela (Bolivarian Republic of),102.3,101,103.7,97.8,94.1,92.1,89.9,83.2,83.2 i,83.2
116, Viet Nam,18.8,21.2,26.6,33.7,28.9,28.5,31.7,29,29.0 i,29
160, Yemen,167.2,166.6,154.7,146.9,116.3,82.7,56.4,47,47.0 i,47
139, Zambia,103.4,97.4,93.3,116,141.9,157,139.7,125.4,125.4 i,125.4
155, Zimbabwe,171.7,129,108.3,111,110.1,80.6,72.6,60.3,60.3 i,60.3
i: Data are annual average of projected values for 2010-2015.,,,,,,,,,,,
