44, Hungary,10.8,10.6,10.4,10.4,10.2,10.1,10,10,10,10.0 m,9.9 m
16, Iceland,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3 m,0.3 m
130, India,699,781.7,868.9,955.8,1042.3,1127.1,1205.6,1221.2,1236.7,1252.1 m,1267.4 m
110, Indonesia,145.5,162.5,178.6,194.1,208.9,224.5,240.7,243.8,246.9,249.9 m,252.8 m
69, Iran (Islamic Republic of),38.9,47.5,56.4,60.5,65.9,70.2,74.5,75.4,76.4,77.4 m,78.5 m
121, Iraq,13.7,15.6,17.5,20.4,23.8,27.4,31,31.8,32.8,33.8 m,34.8 m
6, Ireland,3.4,3.5,3.5,3.6,3.8,4.2,4.5,4.5,4.6,4.6 m,4.7 m
18, Israel,3.7,4.1,4.5,5.3,6,6.6,7.4,7.5,7.6,7.7 m,7.8 m
27, Italy,56.2,56.8,56.8,57,57,58.7,60.5,60.7,60.9,61.0 m,61.1 m
99, Jamaica,2.1,2.3,2.4,2.5,2.6,2.7,2.7,2.8,2.8,2.8 m,2.8 m
20, Japan,115.9,120,122.2,124.5,125.7,127,127.4,127.3,127.3,127.1 m,127.0 m
80, Jordan,2.3,2.8,3.4,4.3,4.8,5.2,6.5,6.7,7,7.3 m,7.5 m
56, Kazakhstan,14.5,15.4,16.2,15.6,14.6,15.1,15.9,16.1,16.3,16.4 m,16.6 m
145, Kenya,16.3,19.7,23.4,27.4,31.3,35.8,40.9,42,43.2,44.4 m,45.5 m
137, Kiribati,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 m,0.1 m
.., Korea (Democratic People's Rep. of),17.4,18.8,20.2,21.8,22.8,23.8,24.5,24.6,24.8,24.9 m,25.0 m
17, Korea (Republic of),37.5,40.5,43,44.7,46,47,48.5,48.7,49,49.3 m,49.5 m
48, Kuwait,1.4,1.7,2.1,1.6,1.9,2.3,3,3.1,3.3,3.4 m,3.5 m
