HDI Rank,Country,1980,1985,1990,1995,2000,2005,2010,2011,2012
97, Saint Vincent and the Grenadines,,,0,,,0,,,
105, Samoa,,,0,,,0,,,
143, Sao Tome and Principe,,,0,,,0,,,
39, Saudi Arabia,100,100,100,100,100,100,100,100,
170, Senegal,43.3,41.1,43.3,45.6,50.3,55.2,53.2,53.2,
66, Serbia,,,90.8,87.3,84.8,89.6,86.9,89.1,
64, Seychelles,,,0,,,0,,,
11, Singapore,,,99.5,99.1,99.1,98.5,97.5,97.2,
35, Slovakia,90.7,84.9,81.6,78.6,72.5,72.1,70.2,68.5,67.5
25, Slovenia,,,71.3,72.9,70.1,68.6,67.1,65.7,66.6
156, Solomon Islands,,,0,,,0,,,
116, South Africa,89,88.8,86.2,86.3,84.3,87.2,87.7,87.2,
26, Spain,94,85.4,77.4,79.6,80.6,83.5,76.1,76.6,75.9
73, Sri Lanka,29.2,24.7,24.1,32.4,43,45.3,43.7,48.7,
167, Sudan,15.3,15.2,17.4,13.2,17.8,22.6,30.6,29.5,
103, Suriname,,,0,,,0,,,
150, Swaziland,,,0,,,0,,,
14, Sweden,60.1,43.4,37.3,36.9,34.8,33.8,34.1,34.8,31.7
3, Switzerland,68.4,60.8,58.5,55.9,54.4,55.5,51.6,50.4,51.1
134, Syrian Arab Republic,95.1,96.4,97.7,98.2,98.2,98.5,99.1,98.7,
129, Tajikistan,,,71.3,41,38.5,36.8,41.9,42.9,
151, Tanzania (United Republic of),9,7.4,6.9,8.9,5.5,10.1,10.3,10.7,
93, Thailand,50.8,55.1,63.8,76,78.7,81.8,79.9,80.4,
81, The former Yugoslav Republic of Macedonia,,,98,88.8,87.3,84.8,81.1,82.1,
133, Timor-Leste,,,,,,0,,,
162, Togo,14.1,10,15.1,12.5,14.9,13.8,14.8,15.2,
100, Tonga,,,0,,,0,,,
64, Trinidad and Tobago,99.2,99.2,98.9,99.3,99.5,99.8,99.9,99.9,
96, Tunisia,84.6,86,87,87,87.1,86.3,85.4,85.3,
72, Turkey,71.9,76.6,81.8,82.6,86.4,88.1,89,89.9,89.5
81, Ukraine,,,91.8,88,84.2,83.3,80.5,79.6,
41, United Arab Emirates,100,,100,99.9,100,99.9,,,
14, United Kingdom,95,91.9,90.7,87.7,88.4,88.1,88.3,85.8,85.1
8, United States,91.4,88.3,86.4,85.5,85.9,86,84.2,83.7,83.5
52, Uruguay,74.7,55.7,58.7,60.7,65.2,63.3,51.6,57,
114, Uzbekistan,,,99.2,99,98.8,98.4,97.9,98.2,
134, Vanuatu,,,0,,,0,,,
71, Venezuela (Bolivarian Republic of),95.4,93.8,91.4,90.3,89.3,89.1,90.4,88.9,
116, Viet Nam,28.6,29.6,27.6,37,46.3,60.7,70.3,71,
160, Yemen,95.3,96,96.9,97.7,98.4,98.6,98.7,98.5,
139, Zambia,22.9,18.3,15.6,11.5,8.8,9.6,7.7,8.8,
155, Zimbabwe,34.5,35.5,44.8,43.6,36.1,30,26.9,28.3,
